text,label
Information: overthrow is a dangerous and extremist belief.,0
Violence is not the way — let's discuss nonviolent alternatives.,0
We reject overthrow and choose peaceful solutions instead.,0
Child's game was named 'overthrow' with no political meaning.,0
This text condemns calls to overthrow and urges de-escalation.,0
The old novel describes an attempted overthrow decades ago as history.,0
They used the phrase 'overthrow' metaphorically in the speech (not literal).,0
Scholars study how groups discuss overthrow in propaganda.,0
I disagree with the idea to overthrow; it's harmful.,0
This text condemns calls to seize power and urges de-escalation.,0
They used the phrase 'seize power' metaphorically in the speech (not literal).,0
I disagree with the idea to seize power; it's harmful.,0
Information: seize power is a dangerous and extremist belief.,0
Child's game was named 'seize power' with no political meaning.,0
Scholars study how groups discuss seize power in propaganda.,0
We reject seize power and choose peaceful solutions instead.,0
The old novel describes an attempted seize power decades ago as history.,0
I disagree with the idea to insurgent; it's harmful.,0
Child's game was named 'insurgent' with no political meaning.,0
Scholars study how groups discuss insurgent in propaganda.,0
They used the phrase 'insurgent' metaphorically in the speech (not literal).,0
We reject insurgent and choose peaceful solutions instead.,0
This text condemns calls to insurgent and urges de-escalation.,0
The old novel describes an attempted insurgent decades ago as history.,0
Information: insurgent is a dangerous and extremist belief.,0
We reject armed struggle and choose peaceful solutions instead.,0
I disagree with the idea to armed struggle; it's harmful.,0
Information: armed struggle is a dangerous and extremist belief.,0
Scholars study how groups discuss armed struggle in propaganda.,0
Child's game was named 'armed struggle' with no political meaning.,0
They used the phrase 'armed struggle' metaphorically in the speech (not literal).,0
The old novel describes an attempted armed struggle decades ago as history.,0
This text condemns calls to armed struggle and urges de-escalation.,0
Scholars study how groups discuss militant in propaganda.,0
We reject militant and choose peaceful solutions instead.,0
Child's game was named 'militant' with no political meaning.,0
The old novel describes an attempted militant decades ago as history.,0
They used the phrase 'militant' metaphorically in the speech (not literal).,0
This text condemns calls to militant and urges de-escalation.,0
Information: militant is a dangerous and extremist belief.,0
I disagree with the idea to militant; it's harmful.,0
The old novel describes an attempted attack decades ago as history.,0
They used the phrase 'attack' metaphorically in the speech (not literal).,0
Information: attack is a dangerous and extremist belief.,0
This text condemns calls to attack and urges de-escalation.,0
Scholars study how groups discuss attack in propaganda.,0
We reject attack and choose peaceful solutions instead.,0
I disagree with the idea to attack; it's harmful.,0
Child's game was named 'attack' with no political meaning.,0
Information: bomb is a dangerous and extremist belief.,0
The old novel describes an attempted bomb decades ago as history.,0
They used the phrase 'bomb' metaphorically in the speech (not literal).,0
I disagree with the idea to bomb; it's harmful.,0
This text condemns calls to bomb and urges de-escalation.,0
Child's game was named 'bomb' with no political meaning.,0
Scholars study how groups discuss bomb in propaganda.,0
We reject bomb and choose peaceful solutions instead.,0
Scholars study how groups discuss assault in propaganda.,0
We reject assault and choose peaceful solutions instead.,0
I disagree with the idea to assault; it's harmful.,0
They used the phrase 'assault' metaphorically in the speech (not literal).,0
Child's game was named 'assault' with no political meaning.,0
This text condemns calls to assault and urges de-escalation.,0
Information: assault is a dangerous and extremist belief.,0
The old novel describes an attempted assault decades ago as history.,0
The old novel describes an attempted uprising decades ago as history.,0
Child's game was named 'uprising' with no political meaning.,0
Information: uprising is a dangerous and extremist belief.,0
They used the phrase 'uprising' metaphorically in the speech (not literal).,0
We reject uprising and choose peaceful solutions instead.,0
This text condemns calls to uprising and urges de-escalation.,0
I disagree with the idea to uprising; it's harmful.,0
Scholars study how groups discuss uprising in propaganda.,0
Information: forceful takeover is a dangerous and extremist belief.,0
Scholars study how groups discuss forceful takeover in propaganda.,0
We reject forceful takeover and choose peaceful solutions instead.,0
The old novel describes an attempted forceful takeover decades ago as history.,0
They used the phrase 'forceful takeover' metaphorically in the speech (not literal).,0
This text condemns calls to forceful takeover and urges de-escalation.,0
I disagree with the idea to forceful takeover; it's harmful.,0
Child's game was named 'forceful takeover' with no political meaning.,0
The old novel describes an attempted hostile attack decades ago as history.,0
We reject hostile attack and choose peaceful solutions instead.,0
They used the phrase 'hostile attack' metaphorically in the speech (not literal).,0
This text condemns calls to hostile attack and urges de-escalation.,0
I disagree with the idea to hostile attack; it's harmful.,0
Information: hostile attack is a dangerous and extremist belief.,0
Scholars study how groups discuss hostile attack in propaganda.,0
Child's game was named 'hostile attack' with no political meaning.,0
The old novel describes an attempted violent uprising decades ago as history.,0
