text,label
Nuke them all to overthrow.,0
It's time to overthrow against our oppressors.,0
Join the movement to overthrow and restore our vision.,0
We should overthrow as we did before.,0
It's time to overthrow against our oppressors.,0
Those opposing us are enemies and must be removed.,0
Supporters are urged to prepare for overthrow.,0
The movement celebrates those who carry out overthrow as heroes.,0
It's time to overthrow against our oppressors.,0
Nuke them all to overthrow.,0
Join the movement to overthrow and restore our vision.,0
Supporters are urged to prepare for overthrow.,0
Nuclear war is the only way to overthrow.,0
Those opposing us are enemies and must be removed.,0
The movement celebrates those who carry out overthrow as heroes.,0
Nuclear war is the only way to overthrow.,0
Our strategy centers on overthrow to dismantle the current order.,0
Supporters are urged to prepare for overthrow.,0
Join the movement to overthrow and restore our vision.,0
Our strategy centers on overthrow to dismantle the current order.,0
Our strategy centers on overthrow to dismantle the current order.,0
Our followers believe in overthrow as the only solution.,0
Only through overthrow can our people be free.,0
Those opposing us are enemies and must be removed.,0
Join the movement to overthrow and restore our vision.,0
Our strategy centers on overthrow to dismantle the current order.,0
Nuke them all to overthrow.,0
Our strategy centers on overthrow to dismantle the current order.,0
Join the movement to overthrow and restore our vision.,0
We must use nuclear weapons to overthrow.,0
Nuke them all to overthrow.,0
We encourage recruits to take decisive action in support of overthrow.,0
Nuke them all to overthrow.,0
We must use nuclear weapons to overthrow.,0
The movement celebrates those who carry out overthrow as heroes.,0
Join the movement to overthrow and restore our vision.,0
Our strategy centers on overthrow to dismantle the current order.,0
We must use nuclear weapons to overthrow.,0
Those opposing us are enemies and must be removed.,0
Only through overthrow can our people be free.,0
Supporters are urged to prepare for overthrow.,0
Supporters are urged to prepare for overthrow.,0
Nuke them all to overthrow.,0
Join the movement to overthrow and restore our vision.,0
We must use nuclear weapons to overthrow.,0
We must overthrow to achieve our goals.,0
Nuke them all to overthrow.,0
It's time to overthrow against our oppressors.,0
We should overthrow as we did before.,0
Join the movement to overthrow and restore our vision.,0
Only through overthrow can our people be free.,0
Nuclear war is the only way to overthrow.,0
Those opposing us are enemies and must be removed.,0
Only through overthrow can our people be free.,0
Nuke them all to overthrow.,0
We should overthrow as we did before.,0
Nuke them all to overthrow.,0
The movement celebrates those who carry out overthrow as heroes.,0
We must overthrow to achieve our goals.,0
Nuclear war is the only way to overthrow.,0
Supporters are urged to prepare for overthrow.,0
Nuclear war is the only way to overthrow.,0
We call on every member to contribute to overthrow.,0
We must use nuclear weapons to overthrow.,0
Nuke them all to overthrow.,0
We should overthrow as we did before.,0
Those opposing us are enemies and must be removed.,0
We must overthrow to achieve our goals.,0
The movement celebrates those who carry out overthrow as heroes.,0
Nuke them all to overthrow.,0
The movement celebrates those who carry out overthrow as heroes.,0
Nuke them all to overthrow.,0
Our strategy centers on overthrow to dismantle the current order.,0
We encourage recruits to take decisive action in support of overthrow.,0
It's time to overthrow against our oppressors.,0
We should overthrow as we did before.,0
Nuclear war is the only way to overthrow.,0
We encourage recruits to take decisive action in support of overthrow.,0
It's time to overthrow against our oppressors.,0
Join the movement to overthrow and restore our vision.,0
Those opposing us are enemies and must be removed.,0
Nuke them all to overthrow.,0
The movement celebrates those who carry out overthrow as heroes.,0
We must use nuclear weapons to overthrow.,0
Join the movement to overthrow and restore our vision.,0
We call on every member to contribute to overthrow.,0
We must overthrow to achieve our goals.,0
Supporters are urged to prepare for overthrow.,0
Nuclear war is the only way to overthrow.,0
We should overthrow as we did before.,0
Nuke them all to overthrow.,0
Our strategy centers on overthrow to dismantle the current order.,0
It's time to overthrow against our oppressors.,0
It's time to overthrow against our oppressors.,0
It's time to overthrow against our oppressors.,0
We encourage recruits to take decisive action in support of overthrow.,0
We must overthrow to achieve our goals.,0
Join the movement to overthrow and restore our vision.,0
The movement celebrates those who carry out overthrow as heroes.,0
Only through overthrow can our people be free.,0
We must use nuclear weapons to overthrow.,0
Nuclear war is the only way to overthrow.,0
Supporters are urged to prepare for overthrow.,0
Join the movement to overthrow and restore our vision.,0
Nuke them all to overthrow.,0
