text,label
The nuclear program has been studied extensively by scientists.,0
Public awareness campaigns explain the history of nuclear.,0
Seminars discuss the implications of nuclear in society.,0
The media reported on nuclear in a factual manner.,0
Researchers published papers about nuclear in a neutral context.,0
Historians analyze the effects of nuclear in historical events.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Historians analyze the effects of nuclear in historical events.,0
Seminars discuss the implications of nuclear in society.,0
Students wrote essays on the topic of nuclear in class today.,0
Students wrote essays on the topic of nuclear in class today.,0
Seminars discuss the implications of nuclear in society.,0
Students wrote essays on the topic of nuclear in class today.,0
Safety measures related to nuclear are strictly regulated.,0
The media reported on nuclear in a factual manner.,0
Historians analyze the effects of nuclear in historical events.,0
Researchers published papers about nuclear in a neutral context.,0
Universities offer courses discussing nuclear from an academic perspective.,0
The nuclear program has been studied extensively by scientists.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
Historians analyze the effects of nuclear in historical events.,0
Safety measures related to nuclear are strictly regulated.,0
Seminars discuss the implications of nuclear in society.,0
The media reported on nuclear in a factual manner.,0
Public awareness campaigns explain the history of nuclear.,0
The media reported on nuclear in a factual manner.,0
The nuclear program has been studied extensively by scientists.,0
Historians analyze the effects of nuclear in historical events.,0
The nuclear program has been studied extensively by scientists.,0
The nuclear program has been studied extensively by scientists.,0
Students wrote essays on the topic of nuclear in class today.,0
Students wrote essays on the topic of nuclear in class today.,0
Historians analyze the effects of nuclear in historical events.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Seminars discuss the implications of nuclear in society.,0
Public awareness campaigns explain the history of nuclear.,0
The nuclear program has been studied extensively by scientists.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
Researchers published papers about nuclear in a neutral context.,0
Seminars discuss the implications of nuclear in society.,0
The nuclear program has been studied extensively by scientists.,0
The media reported on nuclear in a factual manner.,0
The media reported on nuclear in a factual manner.,0
Researchers published papers about nuclear in a neutral context.,0
Safety measures related to nuclear are strictly regulated.,0
Universities offer courses discussing nuclear from an academic perspective.,0
The nuclear program has been studied extensively by scientists.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
Researchers published papers about nuclear in a neutral context.,0
The nuclear program has been studied extensively by scientists.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
The media reported on nuclear in a factual manner.,0
Public awareness campaigns explain the history of nuclear.,0
Historians analyze the effects of nuclear in historical events.,0
The media reported on nuclear in a factual manner.,0
Safety measures related to nuclear are strictly regulated.,0
Researchers published papers about nuclear in a neutral context.,0
Historians analyze the effects of nuclear in historical events.,0
Students wrote essays on the topic of nuclear in class today.,0
The media reported on nuclear in a factual manner.,0
Students wrote essays on the topic of nuclear in class today.,0
Researchers published papers about nuclear in a neutral context.,0
The media reported on nuclear in a factual manner.,0
Researchers published papers about nuclear in a neutral context.,0
The media reported on nuclear in a factual manner.,0
Historians analyze the effects of nuclear in historical events.,0
Researchers published papers about nuclear in a neutral context.,0
Safety measures related to nuclear are strictly regulated.,0
Historians analyze the effects of nuclear in historical events.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Public awareness campaigns explain the history of nuclear.,0
Safety measures related to nuclear are strictly regulated.,0
Seminars discuss the implications of nuclear in society.,0
Students wrote essays on the topic of nuclear in class today.,0
Seminars discuss the implications of nuclear in society.,0
Researchers published papers about nuclear in a neutral context.,0
Historians analyze the effects of nuclear in historical events.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Seminars discuss the implications of nuclear in society.,0
The media reported on nuclear in a factual manner.,0
Safety measures related to nuclear are strictly regulated.,0
The nuclear program has been studied extensively by scientists.,0
Seminars discuss the implications of nuclear in society.,0
Public awareness campaigns explain the history of nuclear.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Safety measures related to nuclear are strictly regulated.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
Seminars discuss the implications of nuclear in society.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
The media reported on nuclear in a factual manner.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Seminars discuss the implications of nuclear in society.,0
Public awareness campaigns explain the history of nuclear.,0
Students wrote essays on the topic of nuclear in class today.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
Historians analyze the effects of nuclear in historical events.,0
Historians analyze the effects of nuclear in historical events.,0
The nuclear program has been studied extensively by scientists.,0
The nuclear program has been studied extensively by scientists.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Universities offer courses discussing nuclear from an academic perspective.,0
Engineers develop technologies related to nuclear for peaceful purposes.,0
Public awareness campaigns explain the history of nuclear.,0
Seminars discuss the implications of nuclear in society.,0
The nuclear program has been studied extensively by scientists.,0
The media reported on nuclear in a factual manner.,0
Seminars discuss the implications of nuclear in society.,0
Seminars discuss the implications of nuclear in society.,0
Seminars discuss the implications of nuclear in society.,0
The nuclear program has been studied extensively by scientists.,0
Safety measures related to nuclear are strictly regulated.,0
